yu,u,xv,v
0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.47E-02,-1.81E-01,6.25E-02,2.75E-01
6.25E-02,-2.02E-01,7.03E-02,2.90E-01
7.03E-02,-2.22E-01,7.81E-02,3.04E-01
1.02E-01,-2.97E-01,9.38E-02,3.26E-01
1.72E-01,-3.83E-01,1.56E-01,3.71E-01
2.81E-01,-2.78E-01,2.27E-01,3.31E-01
4.53E-01,-1.06E-01,2.34E-01,3.22E-01
5.00E-01,-6.08E-02,5.00E-01,2.53E-02
6.17E-01,5.70E-02,8.05E-01,-3.20E-01
7.34E-01,1.87E-01,8.59E-01,-4.27E-01
8.52E-01,3.33E-01,9.06E-01,-5.16E-01
9.53E-01,4.66E-01,9.45E-01,-3.92E-01
9.61E-01,5.11E-01,9.53E-01,-3.37E-01
9.69E-01,5.75E-01,9.61E-01,-2.77E-01
9.77E-01,6.59E-01,9.69E-01,-2.14E-01
1.00E+00,1.00E+00,1.00E+00,0.00E+00
