yu,u,xv,v
0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.47E-02,-3.72E-02,6.25E-02,9.23E-02
6.25E-02,-4.19E-02,7.03E-02,1.01E-01
7.03E-02,-4.78E-02,7.81E-02,1.09E-01
1.02E-01,-6.43E-02,9.38E-02,1.23E-01
1.72E-01,-1.02E-01,1.56E-01,1.61E-01
2.81E-01,-1.57E-01,2.27E-01,1.75E-01
4.53E-01,-2.11E-01,2.34E-01,1.75E-01
5.00E-01,-2.06E-01,5.00E-01,5.45E-02
6.17E-01,-1.36E-01,8.05E-01,-2.45E-01
7.34E-01,3.32E-03,8.59E-01,-2.24E-01
8.52E-01,2.32E-01,9.06E-01,-1.69E-01
9.53E-01,6.87E-01,9.53E-01,-1.03E-01
9.61E-01,7.37E-01,9.53E-01,-8.86E-02
9.69E-01,7.89E-01,9.61E-01,-7.39E-02
9.77E-01,8.41E-01,9.69E-01,-5.91E-02
1.00E+00,1.00E+00,1.00E+00,0.00E+00
